Edelar/Distribuidora	Capital	Chilecito	Aimogasta	Sur	Villa Unión	Total							
04/2010	 28.337 	 16.134 	 8.219 	 4.964 	 -   	 57.654 	
05/2010	 29.433 	 16.286 	 7.232 	 5.718 	 -   	 58.669 	
06/2010	 31.691 	 16.818 	 6.852 	 6.055 	 -   	 61.417 	
07/2010	 36.067 	 17.662 	 7.662 	 7.154 	 -   	 68.546 	
08/2010	 33.838 	 16.530 	 8.040 	 6.318 	 2.083 	 66.810 	
09/2010	 30.207 	 16.524 	 8.387 	 5.432 	 1.752 	 62.302 	
10/2010	 33.418 	 18.402 	 9.059 	 5.499 	 1.666 	 68.044 	
11/2010	 37.085 	 19.926 	 9.363 	 5.555 	 1.635 	 73.563 	
12/2010	 42.151 	 22.095 	 10.480 	 6.450 	 1.736 	 82.912 	
01/2011	 42.204 	 21.242 	 10.257 	 6.742 	 1.826 	 82.271 	
02/2011	 35.208 	 16.671 	 9.011 	 5.828 	 1.588 	 68.307 	
							



							
