Edesal/Recuperos	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
11/2007	 0.302 	 0.071 	 -   	 0.000 	 -   	 -   	 0.374 	 373,688 
12/2007	 -0.101 	 0.001 	 -   	 0.000 	 -   	 -   	 -0.099 	 -99,146 
01/2008	 -0.021 	 0.003 	 0.003 	 0.000 	 -   	 -   	 -0.015 	 -15,046 
02/2008	 0.005 	 0.025 	 0.000 	 0.000 	 -   	 -   	 0.030 	 29,638 
03/2008	 0.015 	 0.054 	 0.000 	 -   	 0.041 	 0.000 	 0.111 	 110,751 
04/2008	 0.015 	 0.030 	 0.002 	 0.002 	 0.020 	 -   	 0.069 	 69,026 
05/2008	 0.126 	 0.070 	 0.007 	 0.001 	 0.028 	 -   	 0.232 	 231,832 
06/2008	 0.051 	 0.008 	 0.004 	 0.011 	 0.009 	 -   	 0.083 	 82,814 
07/2008	 0.026 	 0.007 	 0.003 	 0.001 	 -   	 0.001 	 0.038 	 37,680 
08/2008	 0.035 	 0.006 	 0.000 	 -   	 0.001 	 0.002 	 0.044 	 43,892 
09/2008	 0.012 	 0.000 	 0.001 	 0.010 	 0.032 	 -   	 0.056 	 55,875 
10/2008	 0.371 	 0.002 	 0.000 	 -   	 0.000 	 0.003 	 0.376 	 375,598 
11/2008	 -0.294 	 0.002 	 0.000 	 -   	 -   	 -   	 -0.292 	 -291,649 
12/2008	 0.011 	 0.001 	 0.001 	 0.001 	 -   	 -   	 0.014 	 14,062 																																																																																																																																																																																																																																																							
01/2009	 0.035 	 0.021 	 -   	 0.001 	 -   	 -   	 0.056 	 56,134 																																																																																																																																																																																																																																																							
02/2009	 0.070 	 0.011 	 0.019 	 -   	 0.000 	 -   	 0.101 	 101,110 																																																																																																																																																																																																																																																							
03/2009	 0.059 	 0.025 	 0.005 	 0.003 	 0.000 	 -   	 0.092 	 91,887 																																																																																																																																																																																																																																																							
04/2009	 0.078 	 0.023 	 0.002 	 0.000 	 0.004 	 -   	 0.107 	 107,497 																																																																																																																																																																																																																																																							
05/2009	 -0.014 	 0.028 	 0.003 	 0.002 	 -   	 -   	 0.019 	 18,779 																																																																																																																																																																																																																																																							
06/2009	 -0.075 	 0.001 	 0.001 	 0.007 	 0.000 	 -   	 -0.066 	 -66,312 																																																																																																																																																																																																																																																							
07/2009	 0.014 	 0.001 	 0.001 	 -   	 -   	 -   	 0.016 	 16,243 																																																																																																																																																																																																																																																							
08/2009	 0.033 	 0.004 	 0.000 	 0.001 	 -   	 -   	 0.038 	 38,135 																																																																																																																																																																																																																																																							
09/2009	 0.021 	 0.001 	 0.000 	 0.001 	 -   	 -   	 0.023 	 23,333 																																																																																																																																																																																																																																																							
10/2009	 0.032 	 0.007 	 0.002 	 0.001 	 -   	 -   	 0.043 	 42,852 																																																																																																																																																																																																																																																							
11/2009	 0.035 	 0.022 	 0.004 	 0.025 	 -   	 -   	 0.086 	 86,467 																																																																																																																																																																																																																																																							
12/2009	 0.070 	 0.030 	 0.001 	 0.002 	 0.001 	 0.000 	 0.104 	 103,960 																																																																																																																																																																																																																																																							
01/2010	 0.077 	 0.007 	 0.003 	 0.002 	 0.000 	 0.002 	 0.090 	 90,346 																																																																																																																																																																																																																																																							
02/2010	 0.007 	 0.010 	 0.003 	 0.002 	 -   	 0.001 	 0.024 	 24,336 																																																																																																																																																																																																																																																							
03/2010	 0.011 	 0.006 	 0.002 	 0.000 	 0.001 	 0.001 	 0.020 	 19,948 																																																																																																																																																																																																																																																							
04/2010	 0.026 	 0.011 	 0.000 	 0.005 	 0.024 	 0.018 	 0.085 	 84,752 
05/2010	 0.036 	 0.028 	 0.003 	 0.005 	 0.169 	 -   	 0.241 	 240,503 
06/2010	 0.011 	 0.485 	 0.003 	 0.024 	 0.006 	 -   	 0.529 	 528,775 
07/2010	 0.043 	 0.074 	 0.000 	 0.001 	 -   	 0.002 	 0.120 	 120,040 
08/2010	 0.028 	 0.010 	 -   	 0.001 	 -   	 0.002 	 0.041 	 41,379 
09/2010	 0.022 	 0.022 	 0.002 	 0.004 	 -   	 0.004 	 0.054 	 54,482 
10/2010	 0.068 	 0.178 	 0.004 	 0.036 	 0.013 	 0.006 	 0.306 	 305,535 
11/2010	 0.027 	 0.021 	 0.005 	 0.001 	 0.013 	 0.000 	 0.067 	 67,335 
12/2010	 0.035 	 0.086 	 0.002 	 0.002 	 0.002 	 0.000 	 0.128 	 127,584 
01/2011	 0.155 	 0.035 	 0.002 	 0.001 	 0.016 	 0.000 	 0.208 	 208,257 
02/2011	 0.143 	 0.030 	 0.002 	 0.012 	 0.005 	 0.000 	 0.192 	
								
								
								
								
								
						
						
						
						
						
						
						
						
						
						
						
						
						
						
