Edesal/Cons Propios	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
08/2006	 0.073 	 0.031 	 0.015 	 0.013 	 0.197 	 0.005 	 0.335 		 334,654 
09/2006	 0.067 	 0.024 	 0.012 	 0.007 	 0.180 	 0.004 	 0.293 		 292,959 
10/2006	 0.066 	 0.023 	 0.009 	 0.008 	 0.164 	 0.003 	 0.273 		 272,578 
11/2006	 0.073 	 0.026 	 0.009 	 0.008 	 0.175 	 0.003 	 0.292 		 292,460 
12/2006	 0.081 	 0.028 	 0.009 	 0.009 	 0.179 	 0.003 	 0.309 		 309,094 
01/2007	 0.082 	 0.030 	 0.009 	 0.010 	 0.153 	 0.003 	 0.287 		 287,302 
02/2007	 0.074 	 0.026 	 0.008 	 0.006 	 0.145 	 0.003 	 0.262 		 261,994 
03/2007	 0.075 	 0.030 	 0.009 	 0.009 	 0.161 	 0.004 	 0.288 		 288,350 
04/2007	 0.066 	 0.027 	 0.010 	 0.006 	 0.128 	 0.004 	 0.241 		 240,804 
05/2007	 0.078 	 0.031 	 0.016 	 0.008 	 0.178 	 0.005 	 0.316 		 315,998 
06/2007	 0.080 	 0.032 	 0.017 	 0.009 	 0.164 	 0.005 	 0.307 		 306,880 
07/2007	 0.083 	 0.036 	 0.018 	 0.011 	 0.151 	 0.006 	 0.305 		 305,100 
08/2007	 0.089 	 0.032 	 0.017 	 0.010 	 0.159 	 0.006 	 0.313 		 312,862 	
09/2007	 0.069 	 0.026 	 0.011 	 0.007 	 0.136 	 0.004 	 0.254 		 254,020 	
10/2007	 0.073 	 0.025 	 0.010 	 0.007 	 0.130 	 0.003 	 0.247 		 247,330 	
11/2007	 0.084 	 0.025 	 0.010 	 0.010 	 0.149 	 0.003 	 0.280 		 279,939 	
12/2007	 0.084 	 0.026 	 0.011 	 0.011 	 0.135 	 0.003 	 0.269 		 268,973 	
01/2008	 0.090 	 0.028 	 0.011 	 0.010 	 0.125 	 0.002 	 0.267 		 266,581 	
02/2008	 0.085 	 0.029 	 0.010 	 0.011 	 0.120 	 0.003 	 0.256 		 256,171 	
03/2008	 0.080 	 0.027 	 0.011 	 0.010 	 0.135 	 0.003 	 0.265 		 265,101 	
04/2008	 0.075 	 0.027 	 0.012 	 0.006 	 0.132 	 0.003 	 0.255 		 255,049 	
05/2008	 0.078 	 0.028 	 0.015 	 0.009 	 0.148 	 0.004 	 0.282 		 281,906 	
06/2008	 0.090 	 0.033 	 0.017 	 0.013 	 0.169 	 0.002 	 0.324 		 323,915 	
07/2008	 0.082 	 0.030 	 0.016 	 0.010 	 0.167 	 0.008 	 0.312 		 311,710 	
08/2008	 0.073 	 0.028 	 0.014 	 0.008 	 0.145 	 0.005 	 0.273 		 273,009 	
09/2008	 0.072 	 0.026 	 0.011 	 0.008 	 0.118 	 0.004 	 0.238 		 238,363 	
10/2008	 0.072 	 0.025 	 0.008 	 0.008 	 0.103 	 0.004 	 0.219 		 218,547 	
11/2008	 0.078 	 0.026 	 0.007 	 0.003 	 0.110 	 0.003 	 0.226 		 226,416 	
12/2008	 0.076 	 0.028 	 0.008 	 0.011 	 0.117 	 0.003 	 0.244 		 244,420 
01/2009	 0.077 	 0.030 	 0.008 	 0.004 	 0.107 	 0.003 	 0.228 		 228,129 
02/2009	 0.077 	 0.030 	 0.007 	 0.005 	 0.107 	 0.003 	 0.228 		 228,073 
03/2009	 0.082 	 0.032 	 0.011 	 0.017 	 0.089 	 0.003 	 0.235 		 234,648 
04/2009	 0.076 	 0.029 	 0.009 	 0.009 	 0.102 	 0.004 	 0.229 		 229,493 
05/2009	 0.070 	 0.028 	 0.012 	 0.007 	 0.118 	 0.005 	 0.239 		 239,256 
06/2009	 0.074 	 0.031 	 0.013 	 0.012 	 0.114 	 0.006 	 0.251 		 250,513 
07/2009	 0.085 	 0.034 	 0.013 	 0.011 	 0.155 	 0.006 	 0.303 		 303,172 
08/2009	 0.075 	 0.026 	 0.012 	 0.008 	 0.118 	 0.003 	 0.243 		 242,583 
09/2009	 0.072 	 0.027 	 0.010 	 0.008 	 0.107 	 0.005 	 0.228 		 228,470 
10/2009	 0.073 	 0.027 	 0.009 	 0.010 	 0.108 	 0.004 	 0.231 		 230,883 
11/2009	 0.075 	 0.027 	 0.009 	 0.007 	 0.108 	 0.003 	 0.228 		 228,482 
12/2009	 0.073 	 0.029 	 0.009 	 0.009 	 0.093 	 0.002 	 0.215 		 215,123 
01/2010	 0.085 	 0.010 	 0.105 	 0.012 	 0.026 	 0.005 	 0.242 		 242,210 
02/2010	 0.076 	 0.010 	 0.096 	 0.009 	 0.026 	 0.002 	 0.221 		 220,672 
03/2010	 0.079 	 0.011 	 0.106 	 0.005 	 0.027 	 0.003 	 0.231 		 230,799 
04/2010	 0.061 	 0.012 	 0.114 	 0.009 	 0.027 	 0.002 	 0.226 		 225,599 
05/2010	 0.068 	 0.015 	 0.146 	 0.011 	 0.027 	 0.005 	 0.271 		 270,906 
06/2010	 0.073 	 0.017 	 0.124 	 0.008 	 0.027 	 0.005 	 0.253 		 252,619 
07/2010	 0.083 	 0.020 	 0.129 	 0.012 	 0.039 	 0.006 	 0.290 		 290,182 
08/2010	 0.083 	 0.018 	 0.138 	 0.011 	 0.034 	 0.005 	 0.289 		 289,483 
09/2010	 0.073 	 0.017 	 0.099 	 0.012 	 0.029 	 0.004 	 0.233 		 232,961 
10/2010	 0.074 	 0.012 	 0.096 	 0.002 	 0.028 	 0.003 	 0.214 		 214,456 
11/2010	 0.077 	 0.010 	 0.098 	 0.006 	 0.030 	 0.003 	 0.224 		 223,551 
12/2010	 0.096 	 0.011 	 0.102 	 0.013 	 0.032 	 0.004 	 0.258 		 257,576 
01/2011	 0.092 	 0.011 	 0.106 	 0.037 	 0.031 	 0.003 	 0.280 		 279,842 
02/2011	 0.072 	 0.028 	 0.009 	 0.021 	 0.096 	 0.003 	 0.230 		 229,681 





					
