Edesal/Frontera	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
02/2004	 -1.031 	 -0.106 	 -0.094 	 -2.112 	 3.342 	 -   	 0.000 
03/2004	 -1.260 	 -0.091 	 -0.089 	 -2.304 	 3.744 	 -   	 -   
04/2004	 -0.464 	 -0.106 	 -0.078 	 -2.130 	 2.778 	 -   	 -   
05/2004	 -0.494 	 0.077 	 -0.086 	 -1.200 	 1.704 	 -   	 -   
06/2004	 -0.352 	 -0.101 	 -0.076 	 -1.122 	 1.650 	 -   	 -   
07/2004	 -0.395 	 -0.077 	 -0.098 	 -1.452 	 2.022 	 -   	 -   
08/2004	 -0.296 	 -0.082 	 -0.090 	 -1.626 	 2.094 	 -   	 -   
09/2004	 -0.455 	 -0.101 	 -0.086 	 -3.348 	 3.990 	 -   	 0.000 
10/2004	 -0.588 	 -0.384 	 -0.090 	 -2.946 	 4.008 	 -   	 -   
11/2004	 -0.246 	 -0.610 	 -0.104 	 -3.414 	 4.374 	 -   	 -0.000 
12/2004	 0.181 	 -1.450 	 -0.082 	 -1.896 	 3.246 	 -   	 -   
01/2005	 0.367 	 -1.373 	 -0.104 	 -3.426 	 4.536 	 -   	 -0.000 
02/2005	 0.626 	 -1.632 	 -0.110 	 -2.736 	 3.852 	 -   	 -0.000 
03/2005	 -0.419 	 -0.533 	 -0.242 	 -2.352 	 3.546 	 -   	 -   
04/2005	 -0.302 	 -0.149 	 -0.275 	 -1.914 	 2.640 	 -   	 0.000 
05/2005	 -0.296 	 -0.084 	 -0.099 	 -1.701 	 2.180 	 -   	 -   
06/2005	 -0.361 	 -   	 -0.089 	 -1.716 	 2.166 	 -   	 -   
07/2005	 -0.444 	 -   	 -0.072 	 -2.148 	 2.664 	 -   	 -   
08/2005	 -0.001 	 -0.197 	 -0.144 	 -2.844 	 3.186 	 -   	 -   
09/2005	 0.295 	 -0.269 	 -0.062 	 -3.660 	 3.696 	 -   	 -   
10/2005	 -0.122 	 -0.394 	 -0.066 	 -4.746 	 5.328 	 -   	 -   
11/2005	 -1.414 	 0.202 	 -0.060 	 -2.616 	 3.888 	 -   	 -   
12/2005	 -1.572 	 0.379 	 -0.061 	 -2.634 	 3.888 	 -   	 -   
