Edesa/Gume	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	Aislados	Tartagal	Valle de Lerma	Total		 MWh s/DTE 					
02/2000	 -   	 1.203 	 0.019 	 -   	 -   	 -   	 -   	 -   	 -   	 0.045 	 -   	 1.267 		 0.198 					
03/2000	 -   	 1.256 	 0.018 	 -   	 -   	 -   	 -   	 -   	 -   	 0.080 	 -   	 1.354 		 0.228 					
04/2000	 -   	 1.202 	 0.031 	 -   	 -   	 -   	 -   	 -   	 -   	 0.051 	 -   	 1.284 		 0.228 					
05/2000	 -   	 1.120 	 0.023 	 -   	 -   	 -   	 -   	 -   	 -   	 0.046 	 -   	 1.188 		 0.232 					
06/2000	 -   	 1.044 	 0.030 	 -   	 -   	 -   	 -   	 -   	 -   	 0.048 	 -   	 1.122 		 0.221 					
07/2000	 -   	 1.092 	 0.021 	 -   	 -   	 -   	 -   	 -   	 -   	 0.053 	 -   	 1.167 		 0.248 					
08/2000	 -   	 1.195 	 0.030 	 -   	 -   	 -   	 -   	 -   	 -   	 0.050 	 -   	 1.275 		 0.236 					
09/2000	 -   	 1.159 	 0.022 	 -   	 -   	 -   	 -   	 -   	 -   	 0.048 	 -   	 1.229 		 0.216 					
10/2000	 -   	 1.295 	 0.022 	 -   	 -   	 -   	 -   	 -   	 -   	 0.053 	 -   	 1.370 		 0.234 					
11/2000	 -   	 1.171 	 0.028 	 -   	 -   	 -   	 -   	 -   	 -   	 0.046 	 -   	 1.245 		 0.204 					
12/2000	 -   	 1.299 	 0.024 	 -   	 -   	 -   	 -   	 -   	 -   	 0.058 	 -   	 1.382 		 0.218 					
01/2001	 -   	 1.262 	 0.025 	 -   	 -   	 -   	 -   	 -   	 -   	 0.055 	 -   	 1.342 		 0.191 					
02/2001	 -   	 1.216 	 0.018 	 -   	 -   	 -   	 -   	 -   	 -   	 0.043 	 -   	 1.277 		 0.227 					
03/2001	 -   	 1.295 	 0.020 	 -   	 -   	 -   	 -   	 -   	 -   	 0.051 	 -   	 1.366 		 0.244 					
04/2001	 -   	 1.101 	 0.021 	 -   	 -   	 -   	 -   	 -   	 -   	 0.049 	 -   	 1.172 		 0.235 
05/2001	 -   	 0.953 	 0.026 	 -   	 -   	 -   	 -   	 -   	 -   	 0.059 	 -   	 1.038 		 0.260 
06/2001	 -   	 0.872 	 0.019 	 -   	 -   	 -   	 -   	 -   	 -   	 0.044 	 -   	 0.935 		 0.209 
07/2001	 -   	 0.909 	 0.020 	 -   	 -   	 -   	 -   	 -   	 -   	 0.048 	 -   	 0.977 		 0.245 
08/2001	 -   	 1.332 	 0.016 	 -   	 -   	 -   	 -   	 -   	 -   	 0.053 	 -   	 1.400 		 0.544 
09/2001	 -   	 1.275 	 0.014 	 -   	 -   	 -   	 -   	 -   	 -   	 0.051 	 -   	 1.339 		 0.550 
10/2001	 -   	 1.349 	 0.010 	 -   	 -   	 -   	 -   	 -   	 -   	 0.052 	 -   	 1.410 		 0.523 
11/2001	 -   	 1.505 	 0.008 	 -   	 -   	 -   	 -   	 -   	 -   	 0.058 	 -   	 1.570 		 0.548 
12/2001	 -   	 1.423 	 0.008 	 -   	 -   	 -   	 -   	 -   	 -   	 0.054 	 -   	 1.485 		 0.429 
01/2002	 -   	 1.418 	 0.016 	 -   	 -   	 -   	 -   	 -   	 -   	 0.050 	 -   	 1.484 		 0.435 
02/2002	 -   	 1.710 	 0.013 	 -   	 -   	 -   	 -   	 -   	 -   	 0.030 	 -   	 1.752 		
03/2002	 -   	 1.958 	 0.022 	 -   	 -   	 -   	 -   	 -   	 -   	 0.054 	 -   	 2.034 		
04/2002	 -   	 1.766 	 0.019 	 -   	 -   	 -   	 -   	 -   	 -   	 0.048 	 -   	 1.832 		
05/2002	 -   	 1.869 	 0.019 	 -   	 -   	 -   	 0.091 	 -   	 -   	 0.053 	 -   	 2.033 		
06/2002	 -   	 1.740 	 0.015 	 -   	 -   	 -   	 0.084 	 -   	 -   	 0.044 	 -   	 1.883 		
07/2002	 -   	 1.807 	 0.016 	 -   	 -   	 -   	 0.091 	 -   	 -   	 0.048 	 -   	 1.962 		
08/2002	 -   	 1.928 	 0.015 	 -   	 -   	 -   	 0.082 	 -   	 -   	 0.046 	 -   	 2.070 		
09/2002	 -   	 1.888 	 0.012 	 -   	 -   	 -   	 0.084 	 -   	 -   	 0.041 	 -   	 2.025 		
10/2002	 -   	 2.078 	 0.014 	 -   	 -   	 -   	 0.093 	 -   	 -   	 0.042 	 -   	 2.227 		
11/2002	 -   	 2.511 	 0.018 	 -   	 -   	 -   	 0.089 	 -   	 -   	 0.045 	 -   	 2.663 		
12/2002	 -   	 2.560 	 0.017 	 -   	 -   	 -   	 0.091 	 -   	 -   	 0.047 	 -   	 2.714 		
01/2003	 -   	 2.369 	 0.014 	 -   	 -   	 -   	 0.098 	 -   	 -   	 0.042 	 0.295 	 2.818 		 2,818.041 
02/2003	 -   	 2.029 	 0.018 	 -   	 -   	 -   	 0.085 	 -   	 -   	 0.039 	 0.286 	 2.457 		 2,456.643 
03/2003	 -   	 2.099 	 0.019 	 -   	 -   	 -   	 0.088 	 -   	 -   	 0.029 	 0.361 	 2.597 		 2,596.623 
04/2003	 -   	 1.840 	 0.015 	 -   	 -   	 -   	 0.093 	 -   	 -   	 0.079 	 0.318 	 2.345 		 2,345.394 
05/2003	 -   	 1.895 	 0.016 	 -   	 -   	 -   	 0.076 	 -   	 -   	 0.033 	 0.376 	 2.396 		 2,396.192 
06/2003	 -   	 1.858 	 0.017 	 -   	 -   	 -   	 0.071 	 -   	 -   	 0.032 	 0.377 	 2.355 		 2,355.372 
07/2003	 -   	 2.007 	 0.018 	 -   	 -   	 -   	 0.081 	 -   	 -   	 0.032 	 0.360 	 2.497 		 2,497.193 
08/2003	 -   	 1.742 	 0.017 	 -   	 -   	 -   	 0.076 	 -   	 -   	 0.032 	 0.332 	 2.199 		 2,199.344 
09/2003	 -   	 1.819 	 0.017 	 -   	 -   	 -   	 0.078 	 -   	 -   	 0.030 	 0.316 	 2.261 		 2,260.658 
10/2003	 -   	 2.052 	 0.017 	 -   	 -   	 -   	 0.097 	 -   	 -   	 0.030 	 0.324 	 2.520 		 2,520.433 
11/2003	 -   	 1.928 	 0.013 	 -   	 -   	 -   	 0.085 	 -   	 -   	 0.049 	 0.317 	 2.392 		 2,391.963 
12/2003	 -   	 2.100 	 0.011 	 -   	 -   	 -   	 0.100 	 -   	 -   	 0.033 	 0.316 	 2.559 		 2,559.423 																														
