Edesa/Recuperos	7.Cafayate	1.Capital	2.Güemes	5.J V González	10.La Candelaria	6.Metán	3.Orán	8.S A Cobres	9.S Aislados	4.Tartagal	11.Valle de Lerma	Total		 11.Valle de Lerma 					
01/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
10/2005	 0.003 	 0.081 	 0.078 	 0.011 	 0.001 	 0.000 	 0.007 	 -   	 -0.000 	 0.008 	 0.003 	 0.191 		 191,197 
11/2005	 0.000 	 0.044 	 0.000 	 0.002 	 -   	 0.020 	 0.002 	 -0.000 	 -   	 0.003 	 0.067 	 0.139 		 138,768 
12/2005	 -0.000 	 0.059 	 0.001 	 0.001 	 -   	 0.001 	 0.006 	 -   	 0.001 	 0.007 	 0.103 	 0.178 		 177,908 
01/2006	 0.002 	 0.090 	 0.000 	 0.000 	 -   	 -0.000 	 0.017 	 -   	 -   	 0.001 	 0.021 	 0.131 		 131,007 
02/2006	 0.010 	 0.169 	 0.004 	 0.011 	 -0.000 	 0.002 	 0.012 	 0.000 	 0.000 	 0.007 	 0.038 	 0.252 		 251,774 
03/2006	 -0.000 	 0.113 	 0.001 	 0.009 	 -   	 -0.000 	 0.025 	 -   	 -   	 0.001 	 0.013 	 0.161 		 161,468 
04/2006	 -0.001 	 0.176 	 -   	 -0.000 	 -   	 0.004 	 -0.002 	 -   	 -   	 0.003 	 0.012 	 0.193 		 192,573 
05/2006	 0.000 	 0.122 	 0.000 	 0.000 	 0.000 	 0.002 	 0.009 	 -   	 -   	 0.120 	 0.002 	 0.256 		 256,089 
06/2006	 0.000 	 0.109 	 0.001 	 0.001 	 -   	 0.003 	 -0.046 	 -   	 -0.000 	 0.123 	 -0.003 	 0.189 		 189,015 
07/2006	 0.002 	 0.128 	 -0.000 	 0.003 	 -   	 0.004 	 0.016 	 -   	 -   	 0.116 	 0.031 	 0.300 		 299,509 
08/2006	 -   	 0.070 	 -0.000 	 0.001 	 -   	 0.000 	 -0.000 	 -0.000 	 -0.001 	 0.118 	 0.004 	 0.191 		 191,494 
09/2006	 -   	 0.112 	 0.014 	 0.000 	 -   	 -0.001 	 -0.001 	 -0.001 	 -0.000 	 0.000 	 0.025 	 0.148 		 148,425 
10/2006	 -   	 0.083 	 0.002 	 0.002 	 -   	 -0.000 	 0.001 	 0.001 	 0.000 	 0.000 	 -0.001 	 0.088 		 87,856 
11/2006	 0.001 	 0.076 	 0.001 	 -0.000 	 -   	 -0.000 	 0.009 	 -   	 -   	 -0.001 	 -0.112 	 -0.026 		 -25,853 
12/2006	 -   	 0.083 	 0.001 	 -0.000 	 -   	 -0.000 	 -0.000 	 -   	 -   	 -0.000 	 -0.000 	 0.083 		 82,795 
01/2007	 -   	 0.002 	 -   	 -   	 -   	 -   	 -0.019 	 -   	 -   	 -   	 -0.005 	 -0.021 		 -21,187 
02/2007	 -   	 0.004 	 -   	 -   	 -   	 -   	 0.002 	 -   	 -   	 -   	 -   	 0.006 		 5,926 
03/2007	 -   	 0.008 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -0.010 	 -0.002 		 -2,318 
04/2007	 -   	 0.006 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.003 	 0.009 		 8,785 
05/2007	 -   	 0.002 	 -   	 -   	 -   	 0.001 	 0.002 	 -   	 -   	 -   	 0.001 	 0.007 		 6,646 
06/2007	 -   	 0.011 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.003 	 0.014 		 14,129 
07/2007	 -   	 0.004 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.002 	 0.001 	 0.007 		 6,895 
08/2007	 0.000 	 0.011 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.012 		 11,581 
09/2007	 -   	 0.002 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -0.002 	 0.003 	 0.003 		 2,959 
10/2007	 -   	 0.002 	 -   	 -   	 -   	 0.001 	 -   	 -   	 -   	 -   	 -0.005 	 -0.002 		 -2,154 
11/2007	 -   	 0.039 	 -   	 -   	 -   	 0.000 	 -   	 -   	 -   	 -0.001 	 -   	 0.038 		 37,956 
12/2007	 -   	 0.000 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.011 	 -   	 0.011 		 10,862 
01/2008	 -   	 0.007 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.001 	 0.008 		 8,040 
02/2008	 -   	 -   	 -   	 -   	 -   	 0.001 	 0.002 	 -   	 -   	 -   	 0.011 	 0.014 		 14,385 
03/2008	 -   	 0.004 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.002 	 -   	 0.006 		 6,092 
04/2008	 -   	 0.002 	 -   	 -   	 -   	 0.002 	 0.001 	 -   	 -   	 -   	 0.002 	 0.008 		 7,889 
05/2008	 -   	 0.004 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.012 	 0.016 		 16,050 
06/2008	 -   	 0.002 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.001 	 0.003 		 2,995 
07/2008	 -   	 0.003 	 -   	 -   	 -   	 -   	 0.001 	 -   	 -   	 -   	 -   	 0.005 		 4,570 
08/2008	 -   	 0.003 	 -   	 -   	 0.003 	 -   	 -   	 -   	 -   	 -   	 -   	 0.006 		 6,377 
09/2008	 -   	 0.005 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.004 	 -   	 0.009 		 9,445 
10/2008	 -   	 0.006 	 -   	 -   	 -   	 -   	 0.002 	 -   	 -   	 -   	 -   	 0.008 		 8,381 
11/2008	 -   	 0.003 	 -   	 -   	 -   	 0.001 	 -   	 -   	 -   	 -   	 0.024 	 0.028 		 28,120 
12/2008	 -   	 0.007 	 0.001 	 -   	 -   	 -   	 0.001 	 -   	 -   	 -   	 0.000 	 0.009 		 8,962 
01/2009	 -   	 0.002 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.002 		 1,949 
02/2009	 -   	 0.005 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.002 	 -   	 0.008 		 7,766 
03/2009	 -   	 0.110 	 -   	 -   	 -   	 0.002 	 -   	 -   	 -   	 -   	 -   	 0.112 		 111,767 
04/2009	 -   	 0.002 	 -   	 -   	 -   	 -   	 0.000 	 -   	 -   	 -   	 0.001 	 0.003 		 2,576 
05/2009	 -   	 0.003 	 -   	 -   	 -   	 -0.002 	 -   	 -   	 -   	 -   	 -   	 0.001 		 1,137 
06/2009	 -   	 0.005 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.001 	 0.006 		 6,358 
07/2009	 -   	 0.001 	 -   	 -   	 -   	 -   	 0.002 	 -   	 -   	 -   	 -   	 0.003 		 3,117 
08/2009	 -   	 0.002 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.002 		 2,064 
09/2009	 -   	 0.001 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.001 		 1,050 
10/2009	 -   	 0.003 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.003 		 2,780 
11/2009	 -   	 -   	 -   	 -   	 -   	 0.000 	 0.001 	 -   	 -   	 0.452 	 0.001 	 0.454 		 454,289 
12/2009	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -0.452 	 -   	 -0.452 		 -451,699 
01/2010	 -   	 0.003 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.003 		 2,564 
02/2010	 -   	 0.006 	 0.001 	 -   	 -   	 -   	 -   	 -   	 -   	 0.001 	 -   	 0.009 		 8,765 
03/2010	 0.000 	 0.000 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.000 	 -   	 0.000 		 12 
04/2010	 0.000 	 0.008 	 -   	 0.001 	 -   	 -   	 -   	 -   	 0.000 	 0.001 	 0.000 	 0.011 		 11,347 
05/2010	 0.000 	 0.020 	 0.000 	 0.002 	 -   	 0.001 	 0.000 	 -   	 0.000 	 0.003 	 0.002 	 0.029 		 29,461 
06/2010	 0.000 	 0.007 	 0.002 	 0.002 	 -   	 0.001 	 0.000 	 -   	 -   	 -   	 0.001 	 0.012 		 11,858 
07/2010	 -   	 0.000 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.000 		 1 
08/2010	 -   	 0.004 	 0.000 	 0.000 	 -   	 0.001 	 0.001 	 0.002 	 -   	 -   	 0.001 	 0.009 		 8,536 
09/2010	 0.000 	 0.038 	 0.000 	 0.004 	 0.001 	 0.005 	 0.014 	 0.053 	 0.000 	 0.000 	 0.007 	 0.124 		 123,644 
10/2010	 0.004 	 0.219 	 0.003 	 0.030 	 0.009 	 0.005 	 0.011 	 0.000 	 0.010 	 0.015 	 0.020 	 0.327 		 326,787 
11/2010	 0.019 	 0.194 	 0.015 	 0.054 	 0.004 	 0.013 	 0.012 	 0.000 	 0.010 	 0.018 	 0.028 	 0.367 		 367,204 
12/2010	 0.009 	 0.093 	 0.021 	 0.021 	 -   	 0.011 	 0.014 	 0.001 	 0.001 	 0.013 	 0.037 	 0.223 		 222,543 
01/2011	 0.008 	 0.025 	 0.001 	 0.005 	 0.000 	 0.001 	 0.032 	 0.001 	 -   	 0.018 	 0.021 	 0.111 		 111,342 
02/2011	 0.001 	 0.047 	 0.001 	 0.005 	 0.001 	 0.006 	 0.038 	 -   	 -   	 0.011 	 0.012 	 0.123 		 123,241 

														
														
														
														
														
														
														
														
											
											
											
											
