Edesa/Otros	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	S Aislados	Tartagal	Valle de Lerma	Total	
07/2000	 -   	 -   	 -   	 -   	 0.210 	 -   	 -   	 -   	 -   	 -   	 -   	 0.210 
08/2000	 -   	 -   	 -   	 -   	 0.209 	 -   	 -   	 -   	 -   	 -   	 -   	 0.209 
09/2000	 -   	 -   	 -   	 -   	 0.189 	 -   	 -   	 -   	 -   	 -   	 -   	 0.189 
10/2000	 -   	 -   	 -   	 -   	 0.203 	 -   	 -   	 -   	 -   	 -   	 -   	 0.203 
11/2000	 -   	 -   	 -   	 -   	 0.193 	 -   	 -   	 -   	 -   	 -   	 -   	 0.193 
12/2000	 -   	 -   	 -   	 -   	 0.212 	 -   	 -   	 -   	 -   	 -   	 -   	 0.212 
01/2001	 -   	 -   	 -   	 -   	 0.223 	 -   	 -   	 -   	 -   	 -   	 -   	 0.223 
02/2001	 -   	 -   	 -   	 -   	 0.208 	 -   	 -   	 -   	 -   	 -   	 -   	 0.208 
03/2001	 -   	 -   	 -   	 -   	 0.229 	 -   	 -   	 -   	 -   	 -   	 -   	 0.229 
04/2001	 -   	 -   	 -   	 -   	 0.203 	 -   	 -   	 -   	 -   	 -   	 -   	 0.203 
05/2001	 -   	 -   	 -   	 -   	 0.215 	 -   	 -   	 -   	 -   	 -   	 -   	 0.215 
06/2001	 -   	 -   	 -   	 -   	 0.211 	 -   	 -   	 -   	 -   	 -   	 -   	 0.211 
07/2001	 -   	 -   	 -   	 -   	 0.217 	 -   	 -   	 -   	 -   	 -   	 -   	 0.217 
08/2001	 -   	 -   	 -   	 -   	 0.209 	 -   	 -   	 -   	 -   	 -   	 -   	 0.209 
09/2001	 -   	 -   	 -   	 -   	 0.202 	 -   	 -   	 -   	 -   	 -   	 -   	 0.202 
10/2001	 -   	 -   	 -   	 -   	 0.210 	 -   	 -   	 -   	 -   	 -   	 -   	 0.210 
11/2001	 -   	 -   	 -   	 -   	 0.202 	 -   	 -   	 -   	 -   	 -   	 -   	 0.202 
12/2001	 -   	 -   	 -   	 -   	 0.215 	 -   	 -   	 -   	 -   	 -   	 -   	 0.215 
01/2002	 -   	 -   	 -   	 -   	 0.226 	 -   	 -   	 -   	 -   	 -   	 -   	 0.226 
02/2002	 -   	 -   	 -   	 -   	 0.202 	 -   	 -   	 -   	 -   	 -   	 -   	 0.202 
03/2002	 -   	 -   	 -   	 -   	 0.227 	 -   	 -   	 -   	 -   	 -   	 -   	 0.227 
04/2002	 -   	 -   	 -   	 -   	 0.200 	 -   	 -   	 -   	 -   	 -   	 -   	 0.200 
05/2002	 -   	 -   	 -   	 -   	 0.205 	 -   	 -   	 -   	 -   	 -   	 -   	 0.205 
06/2002	 -   	 -   	 -   	 -   	 0.211 	 -   	 -   	 -   	 -   	 -   	 -   	 0.211 
07/2002	 -   	 -   	 -   	 -   	 0.209 	 -   	 -   	 -   	 -   	 -   	 -   	 0.209 
08/2002	 -   	 -   	 -   	 -   	 0.205 	 -   	 0.126 	 -   	 -   	 -   	 -   	 0.331 
